@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L47836","1","0","8","2","0","1","1636","false"
"L47837","33","0","485","33","0","12","815","false"
"L47838","1","0","6","2","0","1","1636","false"
"L47839","3","0","64","12","0","4","815","false"
"L47840","1","0","25","16","0","8","665","false"
"L47841","5","0","147","128","0","19","815","false"
"L47842","5","0","47","5","0","4","5350","false"
"L47843","7","0","102","4","0","3","1636","false"
"L47844","5","0","44","2","0","2","2472","false"
"L47845","2","0","27","8","0","4","5350","false"
"L47846","3","0","60","39","0","10","1296","false"
"L47847","1","0","36","6","0","5","665","false"
"L47848","8","0","238","69","0","11","412","false"
"L47849","19","0","220","4","0","4","1636","false"
"L47850","1","0","15","7","0","3","412","false"
"L47851","4","0","105","11","0","6","815","false"
"L47852","1","0","43","6","0","4","2319","false"
"L47853","23","0","317","53","0","12","665","false"
"L47854","5","0","129","23","0","9","1404","false"
"L47855","19","0","365","41","0","8","67","false"
"L47856","5","0","78","14","2","6","2319","false"
"L47857","2","0","86","2","2","2","2472","false"
"L47858","2","0","37","2","0","2","1636","false"
"L47859","12","0","87","3","0","1","5350","false"
"L47860","2","0","77","2","0","2","199","false"
"L47861","3","0","127","8","0","1","5350","false"
"L47862","29","0","179","3","0","1","5350","false"
"L47863","6","0","55","15","0","11","412","false"
"L47864","4","0","125","6","0","5","412","false"
"L47865","5","0","71","10","0","5","2319","false"
"L47866","29","0","217","17","0","7","533","false"
"L47867","1","0","11","6","0","4","199","false"
"L47868","2","0","122","61","0","15","665","false"
"L47869","1","0","27","21","0","6","665","false"
"L47870","1","0","8","2","0","2","533","false"
"L47871","14","0","182","13","0","5","505","false"
"L47872","5","0","63","10","0","2","1296","false"
"L64607","1","0","29","2","0","2","310","false"
"L70431","5","0","67","11","0","8","412","false"
"L70432","1","0","30","3","0","3","224","false"
"L70433","1","0","51","3","0","3","224","false"
"L70434","3","0","46","6","0","5","815","false"
"L70435","5","0","177","4","0","3","5350","false"
"L70436","1","0","15","1","0","1","828","false"
"L70437","1","0","29","8","0","6","199","false"
"L70438","1","0","60","1","0","1","828","false"
"L70439","5","0","122","9","0","4","2319","false"
"L70440","12","0","280","19","0","9","5350","false"
"L70441","3","0","107","8","0","3","5350","false"
"L70442","1","0","56","5","0","5","199","false"
"L70443","1","0","30","1","0","1","828","false"
"L70444","1","0","50","1","0","1","828","false"
"L70445","5","0","375","46","2","14","5350","false"
"L70446","3","0","95","2","0","1","310","false"
"L70447","15","0","561","69","0","14","815","false"
"L70448","6","0","170","9","0","7","2319","false"
"L70449","1","0","25","5","0","4","505","false"
"L70450","1","0","27","7","0","6","505","false"
"L70451","1","0","23","5","0","4","505","false"
"L70452","1","0","22","10","0","6","505","false"
"L70453","1","0","25","5","0","4","505","false"
"L70454","1","0","27","5","0","4","505","false"
"L70455","1","0","22","7","0","4","505","false"
"L70456","1","0","21","4","0","4","505","false"
"L70457","1","0","24","4","0","4","505","false"
"L70458","1","0","22","4","0","4","505","false"
"L70459","1","0","27","7","0","6","505","false"
"L70460","28","0","540","24","0","10","412","false"
"L70461","1","0","53","16","0","9","815","false"
"L70462","2","0","287","6","0","5","2319","false"
"L70463","16","0","192","2","0","2","2472","false"
"L70464","3","0","142","3","0","3","2319","false"
"L70465","4","0","88","17","0","9","1296","false"
"L70466","12","0","453","65","0","16","815","false"
"L70467","1","0","113","1","0","1","828","false"
"L70468","3","0","84","8","0","6","5350","false"
"L77116","2","0","51","2","0","1","5350","false"
"L77117","1","0","3","5","0","3","3","false"
"L77118","1","0","3","5","0","3","3","false"
"L77119","5","0","62","8","0","3","815","false"
"L77120","1","0","15","4","0","3","665","false"
"L77121","1","0","6","5","0","3","3","false"
"L77122","1","0","67","7","0","5","505","false"
"L77123","12","0","385","21","0","7","199","false"
"L77124","8","0","86","7","0","4","1296","false"
"L77125","8","0","213","35","0","9","67","false"
"L77126","1","0","54","7","0","4","815","false"
"L77127","2","0","76","2","0","2","1636","false"
"L77128","3","0","238","20","1","6","199","false"
"L77129","2","0","128","17","0","6","5350","false"
"L77130","3","0","60","11","0","3","5350","false"
"L77131","4","0","47","2","0","1","2319","false"
"L77132","1","0","19","2","0","2","1296","false"
"L82350","1","0","167","14","0","5","533","false"
"L82351","7","0","238","39","0","10","665","false"
"L82352","1","0","130","38","0","14","665","false"
"L82353","5","0","56","7","0","4","1296","false"
"L82354","1","0","22","3","0","3","2319","false"
"L82355","11","0","138","20","0","8","5350","false"
"L82356","5","0","77","3","0","2","1296","false"
"L82357","4","0","139","6","0","5","665","false"
"L82358","2","0","45","8","0","4","665","false"
"L82359","1","0","49","13","0","2","199","false"
"L82360","22","0","227","14","0","8","5350","false"
"L82361","4","0","59","3","0","2","665","false"
"L82362","2","0","129","3","0","3","5350","false"
"L82363","2","0","62","25","0","11","5350","false"
"L82364","6","0","97","28","0","8","5350","false"
"L82365","4","0","144","42","0","14","5350","false"
"L82366","1","0","51","15","0","8","2319","false"
"L82367","1","0","83","16","0","5","412","false"
"L82368","2","0","69","22","0","10","815","false"
"L82369","1","0","20","2","0","2","5350","false"
"L82370","1","0","11","2","0","2","5350","false"
"L154552","1","0","45","7","0","5","5350","false"
"L154553","1","0","29","3","0","1","5350","false"
"L154554","7","0","168","16","0","8","1296","false"
"L154555","1","0","15","3","0","2","1296","false"
"L154556","2","0","67","2","0","1","5350","false"
"L154557","1","0","105","25","0","9","5350","false"
"L154558","1","0","75","18","0","11","5350","false"
"L154559","2","0","133","44","0","15","5350","false"
"L44565","2","0","65","37","0","11","665","false"
"L44566","55","0","1202","30","0","10","4","false"
"L44567","2","0","126","7","0","5","815","false"
"L47939","8","0","118","18","0","6","505","false"
"L47940","6","0","71","4","0","2","1634","false"
"L49444","4","0","70","5","0","3","665","false"
"L50344","3","0","118","3","0","2","828","false"
"L50345","6","0","55","1","0","1","1636","false"
"L50346","4","0","56","10","0","5","5350","false"
"L51624","1","0","10","3","0","3","1296","false"
"L51625","20","0","220","26","0","10","412","false"
"L51626","1","0","11","3","0","3","1296","false"
"L51627","1","0","13","6","0","5","2319","false"
"L51628","1","0","8","1","0","1","5350","false"
"L51629","7","0","106","11","0","5","2472","false"
"L51630","1","0","13","6","0","3","1296","false"
"L51631","32","0","181","12","0","6","5350","false"
"L51632","1","0","11","3","0","3","1296","false"
"L51633","1","0","19","6","0","5","2319","false"
"L51634","1","0","19","3","0","2","2319","false"
"L51635","108","0","969","43","0","13","412","false"
"L51636","69","0","557","9","0","6","5350","false"
"L51637","5","0","37","3","0","3","1296","false"
"L51638","1","0","10","3","0","3","1296","false"
"L70489","2","0","122","17","0","8","665","false"
"L70490","1","0","136","20","0","7","665","false"
"L70491","1","0","12","2","0","2","2472","false"
"L70492","1","0","28","25","0","11","1296","false"
"L72109","1","0","13","2","0","2","199","false"
"L72110","1","0","39","5","0","3","5350","false"
"L72111","2","0","76","30","0","11","5350","false"
"L72571","1","0","144","9","0","6","828","false"
"L77524","2","0","47","8","0","3","5350","false"
"L77525","1","0","65","2","0","2","2472","false"
"L77526","4","0","49","2","0","1","268","false"
"L77527","1","0","90","5","0","3","1636","false"
"L77528","19","0","292","12","0","8","236","false"
"L80638","26","0","487","9","0","5","665","false"
"L82459","1","0","44","44","0","9","5350","false"
"L82460","7","0","300","58","1","12","5350","false"
"L82461","3","0","90","9","0","4","224","false"
"L82462","1","0","74","7","0","4","224","false"
"L90280","1","0","33","3","0","3","665","false"
"L90281","1","0","38","10","0","8","533","false"
"L90282","2","0","126","18","0","7","1296","false"
"L90283","7","0","64","4","0","4","1296","false"
"L90284","1","0","74","28","0","10","665","false"
"L91084","4","0","114","7","0","4","665","false"
"L91400","21","0","305","59","0","17","815","false"
"L91402","10","0","203","38","0","13","5350","false"
"L142999","1","0","21","3","0","3","505","false"
"L143000","1","0","67","21","0","10","5350","false"
"L144273","2","0","24","6","1","5","665","false"
"L144274","4","0","48","11","0","5","505","false"
"L144275","10","0","332","19","0","6","665","false"
"L144276","1","0","47","1","0","1","2319","false"
"L144923","1","0","63","8","0","3","1296","false"
"L147032","10","0","316","12","0","5","412","false"
"L147033","3","0","136","4","0","3","412","false"
"L147034","1","0","155","6","0","5","412","false"
"L147035","9","0","292","9","0","5","412","false"
"L154772","1","0","21","2","0","1","5350","false"
"L154773","12","0","122","18","1","7","665","false"
"L154774","5","0","89","11","0","5","665","false"
"L154775","5","0","63","14","0","5","665","false"
"L154776","13","0","65","1","0","1","5350","false"
"L34542","7","0","61","7","0","3","5350","false"
"L34543","3","0","81","3","0","2","5350","false"
"L34544","2","0","87","10","0","4","5350","false"
"L34545","9","0","108","3","0","2","5350","false"
"L83514","9","0","112","13","0","8","412","false"
"L83515","1","0","22","2","0","2","5350","false"
"L83516","1","0","23","11","0","8","2472","false"
"L83517","1","0","8","2","0","2","310","false"
"L83518","1","0","8","2","0","2","310","false"
"L83519","1","0","104","20","0","10","5350","false"
"L83520","16","0","139","2","0","2","533","false"
"L83521","1","0","23","5","0","4","412","false"
"L83522","3","0","108","7","0","3","665","false"
"L83523","5","0","179","8","0","6","412","false"
"L83524","5","0","183","8","0","6","412","false"
"L83525","18","0","669","25","0","11","665","false"
"L83526","3","0","81","40","0","15","828","false"
"L83527","2","0","52","22","0","11","5350","false"
"L85111","23","0","135","7","0","4","815","false"
"L85112","18","0","252","5","0","2","828","false"
"L85113","6","0","273","14","0","6","412","false"
"L86891","2","0","20","2","0","2","310","false"
"L91746","1","0","26","6","0","4","815","false"
"L91747","1","0","45","5","0","3","815","false"
"L91748","1","0","26","14","0","5","815","false"
"L91749","5","0","178","5","0","4","412","false"
"L91750","11","0","234","14","0","5","2319","false"
"L91751","1","0","53","4","0","2","5350","false"
"L91752","1","0","145","23","0","10","412","false"
"L91753","1","0","25","2","0","2","815","false"
"L91754","1","0","150","33","0","10","412","false"
"L91755","1","0","38","12","0","8","665","false"
"L91756","1","0","61","20","0","10","815","false"
"L91757","2","0","47","35","0","12","665","false"
"L91758","1","0","143","27","1","9","5350","false"
"L91759","3","0","63","10","0","7","67","false"
"L91760","2","0","84","3","0","2","1296","false"
"L91761","1","0","185","32","0","13","815","false"
"L91762","1","0","54","10","0","7","199","false"
"L91763","3","0","76","9","0","5","5350","false"
"L91764","1","0","49","8","0","1","5350","false"
"L91765","1","0","42","7","0","7","665","false"
"L91766","1","0","29","12","0","7","815","false"
"L91767","2","0","73","33","0","11","199","false"
"L91768","4","0","126","27","1","7","5350","false"
"L91769","1","0","114","34","0","10","1296","false"
"L104817","35","0","534","19","0","5","5350","false"
"L104818","2","0","67","8","0","4","5350","false"
"L104819","3","0","43","7","0","3","5350","false"
"L104820","1","0","160","2","0","2","665","false"
"L104821","4","0","43","7","0","5","665","false"
"L104822","8","0","156","18","0","3","5350","false"
"L104823","2","0","69","4","0","1","5350","false"
"L104824","1","0","57","24","0","6","5350","false"
"L104825","9","0","151","11","0","5","2319","false"
"L106702","32","0","251","50","0","13","815","false"
"L106703","14","0","261","19","0","13","815","false"
"L106704","8","0","130","6","0","5","815","false"
"L106705","11","0","184","10","0","8","815","false"
"L106706","3","0","27","2","0","1","5350","false"
"L106707","22","0","289","50","0","12","5350","false"
"L106708","9","0","116","31","0","8","665","false"
"L106709","1","0","35","6","0","4","505","false"
"L106710","4","0","106","13","0","10","665","false"
"L106711","2","0","148","43","0","12","815","false"
"L106712","38","0","509","5","0","3","5350","false"
"L106713","2","0","89","19","0","8","1404","false"
"L106714","1","0","203","22","1","9","505","false"
"L106715","4","0","137","18","0","7","815","false"
"L106716","4","0","114","7","0","4","5350","false"
"L106717","21","0","394","3","0","3","665","false"
"L106718","6","0","61","13","0","10","815","false"
"L106719","2","0","33","5","0","2","5350","false"
"L106720","5","0","99","13","0","4","5350","false"
"L106721","1","0","46","14","0","5","665","false"
"L106722","2","0","79","2","0","1","5350","false"
"L106723","8","0","97","8","0","3","5350","false"
"L106724","2","0","43","6","0","5","2319","false"
"L106725","8","0","261","38","0","8","5350","false"
"L106726","10","0","154","25","0","11","815","false"
"L106727","6","0","181","50","0","12","665","false"
"L106728","2","0","52","10","0","5","5350","false"
"L106729","1","0","183","20","0","12","815","false"
"L106730","7","0","90","33","0","15","815","false"
"L106731","6","0","159","8","0","6","815","false"
"L106732","14","0","396","11","0","7","815","false"
"L106733","8","0","83","14","0","7","5350","false"
"L106734","5","0","98","15","0","6","5350","false"
"L106735","29","0","317","18","0","5","5350","false"
"L106736","11","0","184","49","0","16","815","false"
"L106737","15","0","202","9","0","5","3997","false"
"L106738","23","0","508","47","0","13","815","false"
"L106739","3","0","54","17","0","8","5350","false"
"L106740","20","0","219","51","0","15","815","false"
"L106741","4","0","187","19","0","8","5350","false"
"L106742","19","0","630","20","0","9","5350","false"
"L106743","10","0","291","22","0","10","5350","false"
"L106744","7","0","136","47","0","16","815","false"
"L106745","44","0","883","54","1","16","815","false"
"L106746","50","0","523","10","1","4","5350","false"
"L106747","10","0","186","23","0","9","815","false"
"L106748","3","0","163","33","0","11","5350","false"
"L106749","4","0","194","35","0","11","5350","false"
"L106750","1","0","92","18","0","10","665","false"
"L106751","3","0","54","2","0","1","5350","false"
"L110352","3","0","203","25","0","10","2319","false"
"L111488","1","0","55","21","0","11","5350","false"
"L111489","2","0","178","4","0","2","1296","false"
"L111490","3","0","23","3","0","1","505","false"
"L111491","1","0","12","2","0","1","1296","false"
"L111492","1","0","75","21","0","9","665","false"
"L111493","6","0","170","30","0","7","5350","false"
"L112151","1","0","102","7","0","3","2319","false"
"L112152","7","0","93","2","0","2","665","false"
"L112153","25","0","297","6","0","3","5350","false"
"L112154","1","0","20","2","0","2","310","false"
"L112155","4","0","159","5","0","3","5350","false"
"L112156","1","0","122","2","0","2","2319","false"
"L112157","14","0","292","4","0","4","665","false"
"L112158","4","0","124","4","0","3","665","false"
"L112159","1","0","26","2","0","2","665","false"
"L112160","2","0","36","7","0","3","412","false"
"L112161","5","0","133","6","0","3","1636","false"
"L112162","7","0","67","2","0","2","1636","false"
"L112163","32","0","306","4","0","3","665","false"
"L112164","12","0","269","3","0","2","1636","false"
"L113852","1","0","37","9","0","4","5350","false"
"L113853","2","0","33","9","1","5","1404","false"
"L114186","1","0","108","18","1","8","665","false"
"L114187","1","0","107","49","0","13","5350","false"
"L114342","2","0","82","11","0","5","665","false"
"L114343","7","0","137","5","0","3","815","false"
"L114344","3","0","105","20","0","5","20","false"
"L114346","9","0","273","16","0","8","665","false"
"L114347","5","0","54","4","0","4","815","false"
"L114349","15","0","202","5","0","3","5350","false"
"L114351","8","0","232","12","0","3","665","false"
"L114353","3","0","34","4","0","4","665","false"
"L114354","2","0","47","2","0","2","665","false"
"L114355","7","0","93","2","0","2","815","false"
"L114356","1","0","91","4","0","4","665","false"
"L114358","10","0","474","14","0","5","665","false"
"L114359","9","0","290","21","0","8","815","false"
"L114360","3","0","94","6","0","2","665","false"
"L114361","1","0","53","10","0","4","665","false"
"L114362","4","0","116","14","0","5","665","false"
"L114363","5","0","150","8","0","3","665","false"
"L114364","1","0","43","2","0","2","199","false"
"L114365","21","0","363","10","0","4","665","false"
"L114366","5","0","317","14","0","6","815","false"
"L114367","4","0","90","8","0","3","665","false"
"L114368","55","0","675","6","0","5","815","false"
"L114369","8","0","198","10","0","4","665","false"
"L114371","72","0","1136","49","0","12","815","false"
"L114372","3","0","80","4","0","4","815","false"
"L114373","56","0","702","2","0","1","5350","false"
"L114376","5","0","175","10","0","4","665","false"
"L114377","1","0","51","4","0","2","665","false"
"L114378","13","0","372","12","0","4","665","false"
"L125499","4","0","47","6","0","5","2472","false"
"L125500","1","0","37","9","0","5","1296","false"
"L125501","17","0","224","95","0","17","1296","false"
"L125502","2","0","171","2","0","2","67","false"
"L125503","1","0","53","56","0","13","1296","false"
"L125504","1","0","50","8","0","7","1296","false"
"L125505","2","0","137","19","0","9","1296","false"
"L127940","10","0","162","19","0","8","665","false"
"L127942","1","0","75","9","0","4","1636","false"
"L127943","5","0","126","15","0","5","5350","false"
"L127944","1","0","37","17","0","6","6","false"
"L127945","11","0","143","6","0","6","5350","false"
"L127948","6","0","164","6","0","4","815","false"
"L127949","2","0","30","2","0","2","5350","false"
"L127950","6","0","166","38","0","9","815","false"
"L127951","1","0","89","2","0","2","5350","false"
"L127955","1","0","70","4","0","4","143","false"
"L127956","5","0","167","19","0","7","5350","false"
"L127959","1","0","12","2","0","2","5350","false"
"L135950","1","0","24","5","1","2","5350","false"
"L135951","5","0","80","9","0","7","815","false"
"L135952","1","0","39","7","0","5","815","false"
"L135953","3","0","239","8","0","7","815","false"
"L135954","1","0","117","8","0","7","815","false"
"L135955","1","0","80","7","0","6","815","false"
"L135956","1","0","153","13","0","6","815","false"
"L135957","3","0","122","10","0","7","815","false"
"L135958","1","0","46","3","0","2","5350","false"
"L135959","1","0","67","15","0","7","815","false"
"L135960","4","0","78","10","0","7","815","false"
"L135961","1","0","38","7","0","5","815","false"
"L135962","3","0","55","12","0","7","815","false"
"L135963","2","0","48","10","0","7","815","false"
"L135964","2","0","65","12","0","7","815","false"
"L135965","2","0","110","8","0","6","815","false"
"L135966","1","0","36","7","0","5","815","false"
"L135967","2","0","53","7","0","5","815","false"
"L135968","29","0","568","3","0","3","5350","false"
"L135969","1","0","51","6","0","4","1296","false"
"L135970","1","0","41","11","0","6","815","false"
"L135971","7","0","128","11","0","8","1296","false"
"L135972","16","0","253","3","0","3","815","false"
"L135973","8","0","197","11","0","7","815","false"
"L137534","3","0","52","3","0","2","1296","false"
"L137535","1","0","42","3","0","2","1296","false"
"L137536","1","0","73","16","0","4","1296","false"
"L137537","1","0","31","2","0","1","412","false"
"L137538","1","0","30","3","0","2","665","false"
"L137539","2","0","47","2","0","2","665","false"
"L137540","1","0","29","3","0","1","5350","false"
"L137541","2","0","82","2","0","2","815","false"
"L137542","12","0","107","2","0","2","815","false"
"L137543","2","0","54","4","0","3","412","false"
"L137544","3","0","43","5","0","4","101","false"
"L137545","1","0","139","8","0","5","412","false"
"L137546","3","0","28","2","0","2","665","false"
"L137547","3","0","83","23","0","10","2319","false"
"L137548","1","0","45","3","0","2","665","false"
"L137549","5","0","54","3","0","2","5350","false"
"L137550","10","0","193","27","0","9","665","false"
"L137551","15","0","222","24","0","10","2472","false"
"L137552","8","0","58","14","0","6","1296","false"
"L137553","9","0","106","18","0","7","665","false"
"L137554","1","0","35","3","0","3","2319","false"
"L137555","1","0","52","9","0","4","665","false"
"L137556","22","0","278","25","0","13","665","false"
"L137557","4","0","71","14","0","7","665","false"
"L137558","10","0","176","9","0","3","665","false"
"L137559","2","0","46","3","0","2","665","false"
"L137560","16","0","152","2","0","2","5350","false"
"L142257","12","0","151","12","0","3","5350","false"
"L142258","3","0","82","2","0","1","5350","false"
"L142259","5","0","135","6","0","2","5350","false"
"L142260","32","0","860","39","1","10","2319","false"
"L142261","11","0","120","4","0","2","5350","false"
"L142262","3","0","55","7","0","2","5350","false"
"L145096","1","0","80","4","0","3","665","false"
"L35096","2","0","48","6","0","1","5350","false"
"L35097","2","0","48","10","0","2","5350","false"
"L35098","5","0","80","5","0","1","5350","false"
"L35099","5","0","87","2","0","1","5350","false"
"L35100","6","0","61","5","0","2","5350","false"
"L35101","10","0","153","9","0","2","5350","false"
"L35102","5","0","150","4","0","1","5350","false"
"L35103","2","0","73","4","0","2","815","false"
"L37610","14","0","291","18","0","4","5350","false"
"L37990","8","0","149","4","0","2","5350","false"
"L37991","20","0","230","3","0","1","5350","false"
"L37992","1","0","103","8","0","3","59","false"
"L37993","1","0","58","6","0","2","59","false"
"L37994","1","0","38","2","0","2","59","false"
"L37995","2","0","35","5","0","2","5350","false"
"L41599","5","0","160","15","0","5","5350","false"
"L41600","1","0","99","15","0","5","5350","false"
"L41601","3","0","64","11","0","5","62","false"
"L41602","2","0","50","3","0","2","5350","false"
"L41603","18","0","118","8","0","3","62","false"
"L41604","4","0","53","3","0","2","5350","false"
"L41605","1","0","20","2","0","1","5350","false"
"L41606","1","0","52","11","0","5","5350","false"
"L41607","7","0","99","31","0","5","5350","false"
"L42968","2","0","58","14","0","5","665","false"
"L42969","13","0","205","12","0","5","59","false"
"L42970","1","0","29","2","0","1","5350","false"
"L42971","2","0","68","8","0","5","5350","false"
"L38107","35","0","410","42","0","9","5350","false"
"L38108","9","0","764","56","0","7","5350","false"
"L38109","6","0","246","42","0","9","5350","false"
"L38110","3","0","112","16","0","6","5350","false"
"L38111","2","0","68","9","0","4","5350","false"
"L43747","1","0","79","35","0","5","5350","false"
"L43748","1","0","65","26","0","5","5350","false"
"L35589","2","0","26","3","0","1","5350","false"
"L35590","30","0","584","51","0","7","665","false"
"L35591","1","0","14","3","0","2","1296","false"
"L35592","2","0","27","3","0","1","5350","false"
"L92916","6","0","119","7","0","2","5350","false"
"L92917","2","0","23","9","0","4","5350","false"
"L92918","3","0","257","18","0","7","5350","false"
"L92919","1","0","102","17","0","8","67","false"
"L92920","1","0","40","10","0","6","665","false"
"L92921","3","0","160","10","0","4","5350","false"
"L92922","5","0","231","60","0","14","412","false"
"L92923","6","0","700","95","0","15","665","false"
"L92924","4","0","187","49","0","14","412","false"
"L92925","9","0","569","111","0","15","5350","false"
"L92926","1","0","86","14","0","5","1636","false"
"L92927","9","0","365","74","0","16","5350","false"
"L92928","4","0","131","4","0","4","815","false"
"L92929","2","0","123","2","0","2","1636","false"
"L92930","2","0","167","15","0","8","665","false"
"L92931","28","0","541","22","0","6","5350","false"
"L92932","1","0","76","8","0","5","5350","false"
"L92933","5","0","293","4","0","2","5350","false"
"L92934","1","0","27","5","0","3","1636","false"
"L92935","3","0","189","25","0","7","665","false"
"L92936","7","0","98","28","0","8","2319","false"
"L92937","1","0","7","2","0","2","5350","false"
"L92938","2","0","75","2","0","2","1636","false"
"L98070","1","0","72","5","0","3","665","false"
"L99045","16","0","215","35","0","9","665","false"
"L99046","1","0","19","6","0","5","815","false"
"L99216","5","0","178","8","0","6","815","false"
"L99217","1","0","235","75","1","14","815","false"
"L99218","6","0","227","55","0","14","815","false"
"L99219","1","0","75","9","0","6","412","false"
"L99220","1","0","28","4","0","4","199","false"
"L99221","1","0","59","8","0","4","199","false"
"L99222","1","0","53","6","0","3","5350","false"
"L99223","7","0","215","59","0","14","815","false"
"L99224","1","0","190","45","0","13","815","false"
"L99225","10","0","465","56","0","12","2472","false"
"L99226","8","0","143","11","0","5","199","false"
"L102100","1","0","73","18","0","2","5350","false"
"L102101","1","0","24","2","0","2","505","false"
"L102102","1","0","68","6","0","4","815","false"
"L102103","1","0","46","2","0","2","505","false"
"L102104","12","0","138","4","0","3","815","false"
"L102105","2","0","86","29","0","8","815","false"
"L102106","1","0","64","17","0","7","5350","false"
"L102107","1","0","132","9","0","4","2319","false"
"L102108","1","0","57","8","0","4","815","false"
"L102109","1","0","61","8","0","2","5350","false"
"L103701","2","0","168","50","0","14","665","false"
"L104008","6","0","364","35","0","10","412","false"
"L104009","10","0","323","4","0","3","815","false"
"L104010","2","0","126","47","0","14","412","false"
"L104011","5","0","391","49","0","15","2319","false"
"L104012","1","0","54","20","0","9","5350","false"
"L104013","5","0","123","19","0","8","412","false"
"L104014","3","0","395","47","0","12","815","false"
"L104015","6","0","227","12","0","6","815","false"
"L104016","2","0","72","9","0","6","199","false"
"L104017","2","0","70","5","0","4","199","false"
"L104018","2","0","59","19","0","6","5350","false"
"L104019","2","0","120","9","0","7","815","false"
"L104020","4","0","224","18","0","7","5350","false"
"L112245","1","0","11","2","0","2","665","false"
"L112246","1","0","36","3","0","3","1296","false"
"L113537","7","0","111","6","0","3","1296","false"
"L114784","1","0","287","34","0","8","665","false"
"L114785","1","0","183","35","0","8","5350","false"
"L114786","6","0","290","44","0","7","665","false"
"L116394","1","0","12","2","0","2","665","false"
"L116395","1","0","58","2","0","2","665","false"
"L116396","1","0","23","2","0","2","665","false"
"L116397","6","0","48","2","0","2","665","false"
"L116398","1","0","37","4","0","3","5350","false"
"L117040","2","0","48","9","0","4","5350","false"
"L117312","19","0","497","14","0","4","412","false"
"L117313","3","0","86","2","0","2","815","false"
"L117314","3","0","114","4","0","3","815","false"
"L117315","3","0","117","2","0","2","815","false"
"L117316","18","0","462","6","0","4","20","false"
"L117317","12","0","178","4","0","3","67","false"
"L117318","22","0","214","4","0","3","20","false"
"L117319","1","0","111","2","0","2","815","false"
"L117320","7","0","165","6","0","4","665","false"
"L117321","2","0","44","4","0","3","20","false"
"L121499","7","0","79","2","0","2","199","false"
"L122846","1","0","94","15","0","6","665","false"
"L122847","1","0","107","15","0","6","665","false"
"L123988","1","0","102","12","0","6","665","false"
"L123989","2","0","94","11","0","6","665","false"
"L123990","3","0","24","7","0","4","665","false"
"L123991","1","0","79","5","0","3","665","false"
"L123992","1","0","31","2","0","2","665","false"
"L125596","1","0","84","2","0","2","20","false"
"L125597","1","0","121","5","0","4","1296","false"
"L125598","5","0","133","4","0","3","5350","false"
"L125599","2","0","136","4","0","3","5350","false"
"L127984","4","0","32","2","0","2","5350","false"
"L127985","3","0","68","4","0","2","5350","false"
"L127986","1","0","67","6","0","2","5350","false"
"L127987","1","0","100","22","0","7","5350","false"
"L127988","5","0","661","18","0","7","5350","false"
"L127989","3","0","91","5","0","2","292","false"
"L127990","2","0","59","7","0","3","505","false"
"L127991","1","0","41","2","0","1","1296","false"
"L127992","1","0","41","2","0","1","1296","false"
"L127993","1","0","28","4","0","1","5350","false"
"L129492","7","0","175","6","0","3","5350","false"
"L129493","18","0","364","6","0","3","5350","false"
"L129494","2","0","170","3","0","2","5350","false"
"L129496","1","0","99","10","1","3","5350","false"
"L129497","4","0","191","18","0","8","5350","false"
"L129498","3","0","288","7","0","3","5350","false"
"L129499","5","0","193","14","0","5","412","false"
"L132367","1","0","116","13","0","7","665","false"
"L132369","18","0","203","9","0","6","5350","false"
"L132370","3","0","255","9","0","5","1296","false"
"L132371","2","0","181","11","0","6","412","false"
"L132374","26","0","1291","47","1","12","5350","false"
"L132375","3","0","179","8","0","3","665","false"
"L132376","12","0","380","9","0","4","665","false"
"L132378","1","0","40","2","0","2","665","false"
"L132379","1","0","62","15","0","5","5350","false"
"L132380","2","0","156","8","0","2","412","false"
"L132381","1","0","50","2","0","1","5350","false"
"L132383","3","0","160","19","0","7","5350","false"
"L132385","2","0","58","6","0","1","5350","false"
"L132386","3","0","67","6","0","1","5350","false"
"L132387","3","0","272","22","0","9","5350","false"
"L132388","7","0","300","12","0","6","665","false"
"L137949","7","0","89","2","0","2","665","false"
"L137950","1","0","95","2","0","2","665","false"
"L137951","6","0","148","4","0","3","5350","false"
"L138507","1","0","128","4","0","4","2472","false"
"L138508","2","0","59","2","0","2","815","false"
"L138509","1","0","42","4","0","4","2472","false"
"L138510","7","0","246","7","0","4","2472","false"
"L138511","4","0","236","6","0","5","2472","false"
"L138512","1","0","45","7","0","5","5350","false"
"L139927","1","0","17","6","0","5","20","false"
"L142882","9","0","216","12","0","4","665","false"
"L94313","4","0","277","19","0","6","412","false"
"L94314","1","0","62","8","0","4","412","false"
"L94315","3","0","231","8","0","4","815","false"
"L94316","1","0","66","4","0","3","1636","false"
"L94317","1","0","70","11","0","5","665","false"
"L96333","20","0","178","42","0","15","828","false"
"L96334","16","0","279","41","0","11","5350","false"
"L96335","8","0","81","19","0","9","67","false"
"L96336","9","0","87","13","0","8","67","false"
"L96337","2","0","32","5","0","4","1636","false"
"L96338","1","0","11","1","0","1","533","false"
